model,file_id,fileSize,mFName,md5sum
deepmatting,11dxJKH8p7xkcGtMtvzMUw-ua6pZ0vrfw,108,stage1_sad_57.1.pth,0cffb16b30fad67fa3eb5cfeeae0c7d5
MiDaS,11eap5jc-4SCX_sMMxYE6Bi5q_BKw894a,143,model.pt,74a1fcdde0b743212851d4b81be5f6eb
colorize,12tKfNIDewgJPbW3FiITV_AMbOtZWP0Eg,130,caffemodel.pth,efb7de5b0f3827d8a7e392ac287bca81
super_resolution,11GwnqKsYo2jujACD_GMB9uMTQfsuk2RY,6,model_srresnet.pth,8f7ed4feb00402863e771a46013a93a8
faceparse,115nnWD0FoDkplTJYBY7lTQu1VNXFbCA_,51,79999_iter.pth,ff26a222ce48a618a1fa820b46223cae
deblur,11Tt4a_URCer4ZxZA2l3dLMRVeSwoBFYP,233,mymodel.pth,190be4c1b076ffd7b1cb5e40ea31ce4c
deblur,11MCHMVhs4aaMGSusqiu0rtAo97xuC1GA,234,best_fpn.h5,96f747f38a0119669265cbb5fc7b3c5c
deeplabv3,11rX1MHjhmtaoFTQ7ao4p6b31Oz300i0G,233,deeplabv3+model.pt,32f62b9f15f2e39085476d71b902c83c
facegen,122dREA3R0vsSWbrzBwhF5oqSEJ7yrRbL,342,latest_net_G.pth,0ef87488e7d82366ac3ae0449eac367e
deepdehaze,1hrd310nYCbh6ui_ZsZci7Zna2AFP1sMS,0.008,dehazer.pth,77a898308869d223fdda17436eae34ee
deepdenoise,1acZ1FTNMuAQaYtE3RYLA8fs8cQrW2tZ_,0.166,est_net.pth,bf681d25ed09015b9b152b991fc032a8
deepdenoise,1tBoyDxYJ92pvopBJeK9PmG_jMA_Ut38_,3,net.pth,bbca3ca4b3a92a5a26af605cbf823242
enlightening,1V8ARc2tDgUUpc11xiT5Y9HFQgC6Ug2T6,35,200_net_G_A.pth,5e3e6d3ab04492f4a693316515ac8571
interpolateframes,1bHmO9-_ENTYoN1-BNwSk3nLN9-NDUnRg,1.6,contextnet.pkl,e0a3353054c460b4600ab57c686c4f7e
interpolateframes,1cQvDPBKsz3TAi0Q5bJXsu6A-Z7lpk_cE,25.4,flownet.pkl,f3e13948d14bb5f0bf3fa7da455f1649
interpolateframes,1mlA8VtxIcvJfz51OsQMvWX24oqxZ429r,15,unet.pkl,491a6e475fc88eb6ff587d1912a60ff7
