model,file_id,fileSize,mFName,md5sum
deepmatting,11dxJKH8p7xkcGtMtvzMUw-ua6pZ0vrfw,108,stage1_sad_57.1.pth,0cffb16b30fad67fa3eb5cfeeae0c7d5
MiDaS,11eap5jc-4SCX_sMMxYE6Bi5q_BKw894a,143,model.pt,74a1fcdde0b743212851d4b81be5f6eb
MiDaS,1hmv768Mrfv56SitcoMUlYp6zhUrj0HQv,493,dpt_hybrid-midas-501f0c75.pt,39beff6ce86ce03f6b94a29c6d11ee12
semseg,19rLDu8COUFSrOMnk124SBiEN9S9_QHBH,496,dpt_hybrid-ade20k-53898607.pt,d59f62cfba50297ffdef053bc4818a21
colorize,12tKfNIDewgJPbW3FiITV_AMbOtZWP0Eg,130,caffemodel.pth,efb7de5b0f3827d8a7e392ac287bca81
superresolution,11GwnqKsYo2jujACD_GMB9uMTQfsuk2RY,6,model_srresnet.pth,8f7ed4feb00402863e771a46013a93a8
faceparse,115nnWD0FoDkplTJYBY7lTQu1VNXFbCA_,51,79999_iter.pth,ff26a222ce48a618a1fa820b46223cae
deblur,11Tt4a_URCer4ZxZA2l3dLMRVeSwoBFYP,233,mymodel.pth,190be4c1b076ffd7b1cb5e40ea31ce4c
deblur,11MCHMVhs4aaMGSusqiu0rtAo97xuC1GA,234,best_fpn.h5,96f747f38a0119669265cbb5fc7b3c5c
deeplabv3,11rX1MHjhmtaoFTQ7ao4p6b31Oz300i0G,233,deeplabv3+model.pt,32f62b9f15f2e39085476d71b902c83c
deepdehaze,1hrd310nYCbh6ui_ZsZci7Zna2AFP1sMS,0.008,dehazer.pth,77a898308869d223fdda17436eae34ee
deepdenoise,1acZ1FTNMuAQaYtE3RYLA8fs8cQrW2tZ_,0.166,est_net.pth,bf681d25ed09015b9b152b991fc032a8
deepdenoise,1tBoyDxYJ92pvopBJeK9PmG_jMA_Ut38_,3,net.pth,bbca3ca4b3a92a5a26af605cbf823242
enlightening,1V8ARc2tDgUUpc11xiT5Y9HFQgC6Ug2T6,35,200_net_G_A.pth,5e3e6d3ab04492f4a693316515ac8571
interpolateframes,1bHmO9-_ENTYoN1-BNwSk3nLN9-NDUnRg,1.6,contextnet.pkl,e0a3353054c460b4600ab57c686c4f7e
interpolateframes,1cQvDPBKsz3TAi0Q5bJXsu6A-Z7lpk_cE,25.4,flownet.pkl,f3e13948d14bb5f0bf3fa7da455f1649
interpolateframes,1mlA8VtxIcvJfz51OsQMvWX24oqxZ429r,15,unet.pkl,491a6e475fc88eb6ff587d1912a60ff7
edgeconnect/places2,1cmaFsyjKpC6wQhCiuITUI_pmC7g54eOU,10.8,EdgeModel_dis.pth,5777b1d8fd48ec684899c80cf8e0af60
edgeconnect/places2,1z4xI1P-LfOpZRsc6hHjcGMS37PxOMePG,42.2,EdgeModel_gen.pth,8ae8a8f5f73b2c23bb20fe64e9662c36
edgeconnect/places2,1NkK9WMOEiPUfcp5Ga3cmesabb8C4g2yC,10.8,InpaintingModel_dis.pth,ec8203fca31511050d116698bb56344b
edgeconnect/places2,1bfLDxISWagkkHj5SlFz3Oc26C15HVsYu,42,InpaintingModel_gen.pth,f681314e7ff76c13302096ebf49dff2d
edgeconnect/celeba,1n_zyNXKiMG_lWekW6WepCuDGUSaK3zJK,10.8,EdgeModel_dis.pth,e3d40f777c618eac1e0a92a8b3c067b0
edgeconnect/celeba,19UyiBlj4t2DlfCbhqRlkX3xdiUdzrZLG,42,EdgeModel_gen.pth,10851c18fe7aa9e9322ed1774a0cd233
edgeconnect/celeba,1ofvNuHiY_jKg8-LVDE7CIVdWMk3ZXCRL,10.8,InpaintingModel_dis.pth,2f886c89399a29fac357a5c87c671d17
edgeconnect/celeba,1ZrVNGUO1bP84PfQBTP-VARZmGl4rarou,42,InpaintingModel_gen.pth,8e898b12fd9b86dee56887123ff72fb5
edgeconnect/psv,1lNjsFK0x4WXCFYF64Ns3KB_Flc2PuUcl,10.8,EdgeModel_dis.pth,ea6c734b66eeb8aed48e532f089957ec
edgeconnect/psv,1shppHfINx_r9Xr1uUodLt0MyHRh60tZQ,42,EdgeModel_gen.pth,40c83e91ace061acd2bd95421750ffaf
edgeconnect/psv,16pEDKygTnHXqxjoV3xN-3Ewy93qZ_kLg,10.8,InpaintingModel_dis.pth,bf9bb863592605237e620b8d73db225e
edgeconnect/psv,1LrY_vplAiGcfX0B9c_m9HJsbfuvjITa2,42,InpaintingModel_gen.pth,afc0ce9b90413298972a2ef1fc65a3c7
